ID,SMILES,Standard value
1736,NC(=O)c1cccnc1,0
827,CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0
2410,COC(=O)c1ccc(C(=O)OC)cc1,0
5598-13-0,COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,1
2225,CC(C)CCCCCCOC(=O)C1CCCCC1C(=O)OCCCCCCC(C)C,0
1197,Cc1ccc([N+](=O)[O-])c(C)c1,0
2413,COC(=O)CCC(=O)OC,0
2442,Nc1cc(Cl)cc(C(=O)O)c1Cl,0
2346,CCCC=CC=O,0
105,CC(C)(N)CO,0
209,COC1COCCC1NC1CCC(C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)(C(C)C)C1,0
1965,C=C(C)C1CC=C(C)C(=O)C1,0
4498,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,0
2465,O=C1c2c(O)cccc2Cc2cccc(O)c21,0
29799-07-3,Oc1ccc(C23CC4CC(CC(C4)C2)C3)cc1,0
2161,CC(C)c1cccc(C(C)C)c1O,0
1212,CC(C)N(Cc1ccccc1)C(=O)C(C)(C)C,0
2239,CNC,0
1722,OCC(O)CO,0
333-41-5,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,1
2380,CCOC(=O)c1ccccc1C(=O)OCC,0
2200,O=C(O)Cn1c(=O)n(Cc2ccc(Br)cc2F)c(=O)c2ccc(Cl)cc21,0
1247,CCCc1ccc(O)cc1,0
2298,CCC(CC)C(C)CCOC(C)=O,0
1059,CCCOc1nn(C(=O)NS(=O)(=O)c2ccccc2C(=O)OC)c(=O)n1C,0
2308,Cc1cc(C)cc(O)c1,0
2393,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0
1651,O=C1CCCN1,0
1926,Cc1cccc(C)c1O,0
2427,COP(N)(=O)SC,0
3143,NCCOCCOCCN,0
1067,CCCCCCC(C)O,0
632,CCN1CN(CC)CN(CC)C1,0
2176,CCCC=C(C=O)CC,0
58877-88-6,Clc1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,1
1208,CCNCCO,0
1570,CCCCCCCCC=O,0
1640,Fc1ccc(Br)cc1,0
1677,O=C(OCCOCCOC(=O)c1ccccc1)c1ccccc1,0
1239,Nc1ccc(C(=O)O)cc1,0
1674,CC(C)(C)C(=O)c1ccccc1,0
2300,CCC(O)OCC(C)OC(O)CC,0
2172,Cc1cccc(C)c1N,0
1733,COCCOCCOCCO,0
10605-21-7,COC(=O)Nc1nc2ccccc2[nH]1,0
1214,c1cc(-c2ccncc2)ccn1,0
1969,CCO[Si](CC)(OCC)OCC,0
4504,CC(C)CCO,0
2296,CC(C#N)CCC#N,0
1896,CC(=O)OCC(COC(C)=O)OC(C)=O,0
2414,COC(=O)CCCC(=O)OC,0
55-38-9,COP(=S)(OC)Oc1ccc(SC)c(C)c1,1
72-55-9,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1
1943-97-1,Oc1ccc(C2(c3ccc(O)cc3)CC3CC2C2CCCC32)cc1,0
1882,c1ccc(-c2ccccc2)cc1,0
90-43-7,Oc1ccccc1-c1ccccc1,0
1576,NCCN,0
1166,CC(O)CNCC(C)O,0
2295,CC(CC=O)CCCC(C)(C)O,0
2299,CCCCOC(CC)OC(C)COC(O)CC,0
2405,CN1CCCC1=O,0
1039,OCc1ccco1,0
2260,c1ccc2[nH]ccc2c1,0
1976,C=CC(O)CCCCC,0
2390,CCON=C(CC)C1C(=O)CC(c2c(C)cc(C)cc2C)CC1=O,0
1749,CN(C)CCO,0
2445,O=c1ccc2ccccc2o1,0
2198,CCCCCCCCCCCCCCCCO,0
2331,COC(=O)c1ccc(C)cc1C1=NC(=O)C(C)(C(C)C)N1,0
1982,CC(=O)c1cc(C(C)(C)C)cc2c1CCC2(C)C,0
2399,CN(C)N,0
1233,c1ccc2c(c1)oc1ccccc12,0
1261,c1coc(CNc2[nH]cnc3ncnc2-3)c1,0
1100,CC1=CCC(C(C)C)=CC1,0
2452,O=C(O)C(Cl)Cl,0
2191,COS(=O)(=O)OC,0
1721,Cc1ccc(C)c(O)c1,0
52-01-7,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,1
2151,CCCCNS(=O)(=O)c1ccccc1,0
2153,CNC(=O)ON=C(C)SC,0
1102,CCCC1=NC(=S)NC(=O)C1,0
55,O=c1[nH]c2ccc([S+]([O-])CCN3CCC(Cc4ccc(F)cc4)CC3)cc2o1,0
1202,CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1,0
1645,C=CCc1ccc(OC)cc1,0
2664-63-3,Oc1ccc(Sc2ccc(O)cc2)cc1,0
2169,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,0
2234,CC1=CCC2CC1C2(C)C,0
1902,OC1COC(O)C(O)C1O,0
2403,CN1C(=O)CCC1c1cccnc1,0
792,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,0
1901,CCC(=O)OC(C)(C)C1CC=C(C)CC1,0
1555,COS(=O)(=O)O,0
2358,CCCCCCCCCCCC(=O)OC,0
1647,FC(F)(F)c1ccc(Cl)cc1,0
1093,Cc1cccc(C)c1,0
1448,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0
84-75-3,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,0
1478-61-1,Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,0
1518,CC(C)NCC(O)c1ccc(O)c(O)c1,0
1943,Cc1ccc(O)c(C)c1,0
2338,CCC(O)OC(O)CC,0
2397,CN(C)C(=O)Nc1ccccc1,0
2417,COc1c(Cl)ccc(Cl)c1C(=O)O,0
26399-02-0,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(CC)CCCC,1
1753,O=[N+]([O-])c1ccccc1O,0
211867-47-9,COc1ccc(C(=CC(=O)N2CCOCC2)c2ccc(F)cc2)cc1OC,1
992,N#CCC#N,0
2000,NCc1cccc(CN)c1,0
66230-04-4,CC(C)[C@@H](C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,0
1830,O=C(c1ccccc1)c1ccccc1,0
1773,CCCCCCCCOS(=O)(=O)O,0
1520,CC1=NN(c2cc(Cl)c(S(=O)(=O)O)cc2Cl)C(=O)C1N=Nc1ccc(S(=O)(=O)O)cc1,0
16752-77-5,CNC(=O)O/N=C(\C)SC,0
